Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),1_ZONE1:Zone Air Temperature [C](Hourly),0_ZONE1:Zone Air Temperature [C](Hourly),0_ZONE2:Zone Air Temperature [C](Hourly),VRF_1_ZONE1 VRF HEAT PUMP:VRF Heat Pump COP [](Hourly),VRF_1_ZONE1 VRF HEAT PUMP:VRF Heat Pump Part Load Ratio [](Hourly),VRF_0_ZONE1 VRF HEAT PUMP:VRF Heat Pump COP [](Hourly),VRF_0_ZONE1 VRF HEAT PUMP:VRF Heat Pump Part Load Ratio [](Hourly),VRF_0_ZONE2 VRF HEAT PUMP:VRF Heat Pump COP [](Hourly),VRF_0_ZONE2 VRF HEAT PUMP:VRF Heat Pump Part Load Ratio [](Hourly) 
 01/03  17:00:00,11.183333333333336,22.00273006226421,22.001042215703437,22.000978091225137,2.348997723682008,0.25,2.3871955686094417,0.25,2.393203445779676,0.25 
 01/03  18:00:00,10.924999999999999,22.003945692557335,22.00140429793792,22.00125604381149,2.4022275129738754,0.25,2.4202596351185718,0.25,2.430215203211741,0.25 
 01/03  19:00:00,10.566666666666667,22.0042966980634,22.001579724422624,22.001383694576544,2.416584529050695,0.25,2.42127918996917,0.25,2.4344487018813365,0.25 
 01/03  20:00:00,10.108333333333333,22.00381113947522,22.00159834303859,22.001388943609745,2.4009336090131727,0.25,2.3974270189330375,0.25,2.414053521347664,0.25 
 01/03  21:00:00,9.549999999999999,22.003402405052538,22.001614192011716,22.001394375009754,2.3825549250062045,0.25,2.36959328063973,0.25,2.3905824860308164,0.25 
 01/03  22:00:00,8.950000000000001,22.003051841863955,22.001622603815265,22.00139144300365,2.3623741375311897,0.25,2.340647065871941,0.25,2.365579361442682,0.25 
 01/03  23:00:00,8.291666666666666,14.33673422877576,17.09670502567575,16.858752110930579,0.0,0.0,0.0,0.0,0.0,0.0 
 01/03  24:00:00,7.591666666666666,11.899010722692724,13.564006807111028,13.50197992039135,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  01:00:00,6.95,10.189934102472544,12.248758279615979,12.13447160587961,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  02:00:00,6.291666666666667,8.923789967945874,11.451897627112514,11.25518870953515,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  03:00:00,5.6499999999999999,7.8322709681030109,10.927714601940743,10.646744992205545,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  04:00:00,5.108333333333333,6.899854202034509,10.517829889321865,10.170401121687784,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  05:00:00,4.666666666666667,6.117961155701554,10.18165997462059,9.785566272064618,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  06:00:00,4.325,5.464583055046155,9.913750335675113,9.479289939992123,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  07:00:00,4.083333333333333,21.29393029841142,21.355630203956893,21.22138076503981,1.6799994860333856,0.7869444861513949,1.5435670403225792,0.5557798538935598,1.6535366979071853,0.726321239635393 
 01/04  08:00:00,4.0,21.99025146253886,22.00060929041696,22.00047674848318,1.6153349656025389,0.6430576314638631,1.3002081630770402,0.3614687586339593,1.4378555276880958,0.46998804197941376 
 01/04  09:00:00,4.0,22.000536402726167,22.000560302961249,22.00044794810876,1.525620933008918,0.5257993298263927,1.2273458571304117,0.31979728782259417,1.3663067596168424,0.4104005569169076 
 01/04  10:00:00,4.175,22.001118275723504,22.000612638457015,22.000467332093128,1.4737047558212666,0.44936354695597865,1.1865489583467597,0.2870665823968025,1.3072878512087499,0.35422907939284917 
 01/04  11:00:00,4.4750000000000009,22.00159405134659,22.00071121976603,22.00052299121994,1.4570176347885938,0.39420289716218095,1.173809371814049,0.260238281670163,1.2714601393140857,0.3070389298127269 
 01/04  12:00:00,4.833333333333333,22.00201028419001,22.000810558999736,22.000586543405207,1.439154596322035,0.3481694672689057,1.1935374838582136,0.25,1.2441634290580952,0.2711913486998905 
 01/04  13:00:00,5.175000000000001,22.00224142525414,22.000907985189547,22.000637880390945,2.1580671332077689,0.2700996001881226,2.044784518824859,0.25,2.0273379835040026,0.25 
 01/04  14:00:00,5.416666666666667,22.00209035867569,22.000932105263656,22.000660230023127,2.1425830729890005,0.2665805191821727,2.0423093409924806,0.25,2.02571733220704,0.25 
 01/04  15:00:00,5.558333333333334,22.001943795447358,22.000947278811215,22.000689618080388,2.149071308570051,0.2697818319763677,2.04600014623222,0.25,2.037079522259429,0.25 
 01/04  16:00:00,5.6000000000000009,22.001806976201825,22.000959398840626,22.000730030664497,2.181334801752527,0.2812444785448844,2.058796738244431,0.25,2.0707273521861695,0.2524005729908319 
